VEH_SER_NO,TS_LOAD,SHIFT,QA,PAINT,SH,ENG_SC
HX6721,2016-06-02 08:20:13.630,1,1,6,0,0
JB8316,2016-06-02 08:08:13.120,1,0,3,1,1
JB8520,2016-06-02 08:02:19.583,1,1,4,0,0
HX6727,2016-06-02 07:53:29.983,1,3,9,0,0
JB8519,2016-06-02 07:53:11.263,1,1,3,0,0
JB8518,2016-06-02 07:47:31.520,1,2,5,1,0
JB6812,2016-06-02 07:47:12.123,1,2,2,4,0
JB8302,2016-06-02 07:32:11.717,1,1,6,1,0
HW4131,2016-06-02 07:08:11.727,1,11,6,1,0
JB8097,2016-06-02 07:05:12.057,1,2,1,0,0
HY9222,2016-06-02 06:56:33.977,1,10,2,1,0
JB7673,2016-06-02 06:53:13.093,1,1,7,0,0
HZ3844,2016-06-01 23:29:06.170,2,2,1,2,0
HL6125,2016-06-01 23:14:13.773,2,0,1,1,0
JB7429,2016-06-01 23:05:12.937,2,1,5,0,0
JB7807,2016-06-01 23:02:48.803,2,12,2,0,0
JB8478,2016-06-01 23:02:28.137,2,1,5,3,0
JB8603,2016-06-01 22:56:10.850,2,2,4,1,0
JB8105,2016-06-01 22:35:20.100,2,2,1,0,0
HZ3929,2016-06-01 22:29:10.860,2,2,3,0,0
JB8602,2016-06-01 22:17:33.670,2,0,4,0,0
JB8517,2016-06-01 22:17:11.880,2,2,5,0,0
HN1826,2016-06-01 21:59:11.560,2,6,7,1,1
JB7101,2016-06-01 21:53:11.190,2,0,3,1,0
JB8670,2016-06-01 21:38:11.863,2,9,7,1,1
JB6840,2016-06-01 21:29:31.210,2,12,6,2,0
HW4128,2016-06-01 21:29:11.020,2,2,13,0,1
HG6449,2016-06-01 21:20:13.937,2,2,4,1,1
JB7184,2016-06-01 21:08:15.117,2,16,5,0,0
HZ3843,2016-06-01 21:05:18.713,2,4,1,0,0
JB8048,2016-06-01 20:53:11.717,2,1,2,0,0
JB8301,2016-06-01 20:44:11.780,2,1,3,0,0
HX7148,2016-06-01 20:35:36.807,2,12,19,2,1
JB8276,2016-06-01 20:35:15.850,2,2,6,0,0
JB6839,2016-06-01 20:17:11.190,2,3,5,0,0
JB5300,2016-06-01 20:14:10.530,2,0,4,0,0
JB5299,2016-06-01 19:29:11.547,2,0,8,1,0
HZ3928,2016-06-01 19:23:09.677,2,1,1,0,0
HW1715,2016-06-01 19:11:11.577,2,11,3,0,0
JB2289,2016-06-01 19:05:16.793,2,0,16,0,0
JB7100,2016-06-01 19:02:11.167,2,9,7,2,0
HW4127,2016-06-01 18:50:12.700,2,0,6,2,1
JB5298,2016-06-01 18:44:11.493,2,0,1,0,0
HT3028,2016-06-01 18:35:11.337,2,1,12,0,0
HW2711,2016-06-01 18:32:10.587,2,1,1,0,0
JB6838,2016-06-01 18:23:24.287,2,16,6,0,0
HW2741,2016-06-01 18:14:10.097,2,0,0,0,0
HZ3842,2016-06-01 18:02:11.547,2,0,4,0,0
JB8040,2016-06-01 17:50:11.050,2,3,2,0,0
