LOC,VEH_SER_NO,POOL_CD,IDENT_SEQ,DATE_WORK,CHASSIS_LN_CD,SCH_MDL_TYPE,CTRY_CD,POOL_TRIG_TYPE,CLM_UNT_QTY,LID,TS_LOAD,PGM_ID
017,JB7998,01,6612610,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:23.770,SVXINPUP
017,HW8234,01,6562281,2016-05-02 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.697,SVXINPUP
017,HH2785,01,6562280,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.617,SVXINPUP
017,HZ3842,01,6612613,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:24.027,SVXINPUP
017,HW2711,01,6612612,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:23.990,SVXINPUP
017,JB8040,01,6612611,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:23.803,SVXINPUP
017,HU1198,DL,6504462,2016-04-01 00:00:00.000,A,CT,203,VEH DLVRY ,1,MARTDAN ,2016-04-01 10:52:41.407,SVXINPUP
017,JB0980,01,6562288,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.917,SVXINPUP
017,HV6560,01,6562287,2016-05-02 00:00:00.000,A,MM,000,CHAS START,1,JF11647 ,2016-05-02 01:07:39.870,SVXINPUP
017,JA6526,01,6562286,2016-05-02 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.847,SVXINPUP
017,JA8528,01,6562283,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.750,SVXINPUP
017,JB6838,01,6612615,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-06-01 01:20:24.063,SVXINPUP
017,HW2741,01,6612614,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:24.053,SVXINPUP
017,HH2786,01,6562282,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.747,SVXINPUP
017,HW0969,01,6503434,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.250,SVXINPUP
017,HY2586,01,6503427,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:03:56.037,SVXINPUP
017,HZ3849,01,6503448,2016-04-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.503,SVXINPUP
017,HZ3820,01,6503446,2016-04-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.463,SVXINPUP
017,HZ4322,01,6503443,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.407,SVXINPUP
017,HN2495,01,6503437,2016-04-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.293,SVXINPUP
017,HW1198,01,6503436,2016-04-01 00:00:00.000,A,MM,000,CHAS START,1,JF11647 ,2016-04-01 01:04:12.283,SVXINPUP
017,JB8301,01,6612628,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.597,SVXINPUP
017,JB8276,01,6612627,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.587,SVXINPUP
017,HX7148,01,6612626,2016-06-01 00:00:00.000,A,CT,000,CHAS START,1,JF11647 ,2016-06-01 01:20:39.547,SVXINPUP
017,JB5300,01,6612625,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.547,SVXINPUP
017,JB6839,01,6612624,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.543,SVXINPUP
017,JB5299,01,6612623,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.540,SVXINPUP
017,HZ3928,01,6612622,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.527,SVXINPUP
017,HW1715,01,6612621,2016-06-01 00:00:00.000,A,CT,000,CHAS START,1,JF11647 ,2016-06-01 01:20:39.503,SVXINPUP
017,JB2289,01,6612620,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.477,SVXINPUP
017,HW4127,01,6612619,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.427,SVXINPUP
017,JB7102,01,6612618,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.410,SVXINPUP
017,HT3028,01,6612617,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.363,SVXINPUP
017,JB5298,01,6612616,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.260,SVXINPUP
017,JA7253,01,6562289,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.923,SVXINPUP
017,HW4551,01,6503457,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.617,SVXINPUP
017,HZ3734,01,6503456,2016-04-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.600,SVXINPUP
017,HZ5284,01,6503454,2016-04-01 00:00:00.000,A,MM,000,CHAS START,1,JF11647 ,2016-04-01 01:04:12.580,SVXINPUP
017,HZ4339,01,6503453,2016-04-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.577,SVXINPUP
017,HZ1413,01,6503451,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.550,SVXINPUP
017,HZ4671,01,6503449,2016-04-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-04-01 01:04:12.513,SVXINPUP
017,JA7358,03,6564229,2016-05-02 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-05-02 20:11:12.040,SVXINPUP
017,HW4034,01,6562291,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.970,SVXINPUP
017,JB8048,01,6612629,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-06-01 01:20:39.603,SVXINPUP
017,JA7358,01,6562290,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:39.953,SVXINPUP
017,HF9425,DL,6503470,2016-04-01 00:00:00.000,A,MM,203,VEH DLVRY ,1,JF04439 ,2016-04-01 02:31:07.217,SVXINPUP
017,HX6700,DL,6503474,2016-04-01 00:00:00.000,A,MM,203,VEH DLVRY ,1,JF04439 ,2016-04-01 02:39:30.810,SVXINPUP
017,JA6457,01,6562292,2016-05-02 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.000,SVXINPUP
017,HH2787,01,6562293,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.010,SVXINPUP
017,JA8072,01,6562300,2016-05-02 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.120,SVXINPUP
017,HY2148,01,6562299,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.090,SVXINPUP
017,JA8909,01,6562298,2016-05-02 00:00:00.000,A,CT,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.087,SVXINPUP
017,JA2725,01,6562297,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.080,SVXINPUP
017,JA8951,01,6562296,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.070,SVXINPUP
017,JB1795,01,6562295,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.047,SVXINPUP
017,JA2686,01,6562294,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.020,SVXINPUP
017,JA2718,01,6562304,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.187,SVXINPUP
017,HZ3910,01,6562303,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.160,SVXINPUP
017,JA7731,01,6562302,2016-05-02 00:00:00.000,A,CT,000,CHAS START,1,JF11647 ,2016-05-02 01:07:40.147,SVXINPUP
017,HH2788,01,6562301,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.130,SVXINPUP
017,HH2788,03,6564803,2016-05-03 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-05-03 04:32:12.040,SVXINPUP
017,HX9919,DL,6503499,2016-04-01 00:00:00.000,A,MM,203,VEH DLVRY ,1,JMH0116 ,2016-04-01 03:03:50.007,SVXINPUP
017,HW4035,01,6562307,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.197,SVXINPUP
017,JA7254,01,6562306,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.193,SVXINPUP
017,JA2689,01,6562305,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.190,SVXINPUP
017,HH2789,01,6562311,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.450,SVXINPUP
017,JA4221,01,6562310,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.417,SVXINPUP
017,JA9992,01,6562309,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.393,SVXINPUP
017,JB0981,01,6562308,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.200,SVXINPUP
017,HX7333,01,6562316,2016-05-02 00:00:00.000,A,CT,000,CHAS START,1,JF11647 ,2016-05-02 01:07:40.520,SVXINPUP
017,HZ1746,01,6562315,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.480,SVXINPUP
017,HH2791,01,6562314,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.470,SVXINPUP
017,HH2790,01,6562313,2016-05-02 00:00:00.000,A,MM,203,CHAS START,1,JF11647 ,2016-05-02 01:07:40.470,SVXINPUP
017,JA5244,01,6562312,2016-05-02 00:00:00.000,A,CT,000,CHAS START,1,JF11647 ,2016-05-02 01:07:40.450,SVXINPUP
017,HX6680,03,6503546,2016-04-01 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:05:16.910,SVXINPUP
017,HT3055,DL,6503553,2016-04-01 00:00:00.000,A,MM,203,VEH DLVRY ,1,JF04439 ,2016-04-01 04:09:15.920,SVXINPUP
017,HW2429,03,6503574,2016-04-01 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:20:30.603,SVXINPUP
017,HZ3888,03,6503560,2016-04-01 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:11:58.943,SVXINPUP
017,HW7309,03,6503559,2016-04-01 00:00:00.000,A,CT,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:11:30.240,SVXINPUP
017,HZ2423,03,6503652,2016-04-01 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:50:32.777,SVXINPUP
017,HX7397,03,6503651,2016-04-01 00:00:00.000,A,MM,203,CHAS COMPL,1,APMTHMS ,2016-04-01 04:50:12.263,SVXINPUP
017,HW3281,03,6503605,2016-04-01 00:00:00.000,A,CT,000,CHAS COMPL,1,APMTHMS ,2016-04-01 04:32:55.447,SVXINPUP
