QA_ITEM_DSCREP_ID,QA_INSP_ITEM_ID,VEH_SER_NO,LOC,FOUND_INSP_TEAM,RESP_INSP_OPRUNT,RESP_INSP_TEAM,INSP_ITEM,CHKLST_VER_NO,INSP_DSCREP,INSP_ID,INSP_DSCREP_DESC,INSP_DSCREP_VALUE,SHIFT_CD,RPAR_ID,RPAR_TS,APPR_ID,APPR_TS,REWRK_MNS,DSCREP_DCAPA_VALUE,DCAPA_OVRD_INDC,PROD_AUD_SCORE,RTG_CLIP_INDC,INSP_COMT_ID1,INSP_COMT_ID2,INSP_COMT_ID3,TS_LOAD,TS_LAST_UPDT,INSP_COMT,REWRK_NOTES
27147045,24612604,JB4805,017,711,NULL,NULL,9999,0,999,BDALRYM   ,CLEAR DISCREP       ,0,3,NULL,NULL,BDALRYM   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 01:39:06.833,2016-05-26 01:39:06.833,NULL,NULL
27147049,24612608,JB4506,017,711,NULL,NULL,9999,0,999,SCOBROO   ,CLEAR DISCREP       ,0,3,NULL,NULL,SCOBROO   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 01:47:33.277,2016-05-26 01:47:33.277,NULL,NULL
27147064,24612621,JB3100,017,711,NULL,NULL,9999,0,999,BDALRYM   ,CLEAR DISCREP       ,0,3,NULL,NULL,BDALRYM   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 02:06:15.717,2016-05-26 02:06:15.717,NULL,NULL
27147067,24612623,JB4810,017,711,NULL,NULL,9999,0,999,AUJENKI   ,CLEAR DISCREP       ,0,3,NULL,NULL,AUJENKI   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 02:10:24.487,2016-05-26 02:10:24.487,NULL,NULL
27147076,24612631,JA5184,017,711,NULL,NULL,9999,0,999,SCOBROO   ,CLEAR DISCREP       ,0,3,NULL,NULL,SCOBROO   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 02:20:10.943,2016-05-26 02:20:10.943,NULL,NULL
27147088,24612641,JB5296,017,711,NULL,NULL,9999,0,999,AUJENKI   ,CLEAR DISCREP       ,0,3,NULL,NULL,AUJENKI   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 02:31:01.970,2016-05-26 02:31:01.970,NULL,NULL
27147152,24612702,JB3609,017,711,NULL,NULL,5011,2,025,AUJENKI   ,LEAKS               ,0,3,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:14:37.520,2016-05-26 03:14:37.520,RHS FUEL FITTINGS LEAKING,NULL
27147158,24612708,JB3609,017,711,NULL,NULL,4930,2,007,AUJENKI   ,NOT OR WRG SECURED  ,0,3,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:17:47.350,2016-05-26 03:17:47.350,STAND OFF BRACKET LOOSE BY BELL HOUSING,NULL
27147164,24612713,HZ3838,017,711,NULL,NULL,4823,2,010,waltch1   ,WRONG LOCATION      ,0,3,NULL,NULL,micmar2   ,2016-05-26 04:21:01.290,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:20:35.397,2016-05-26 04:21:01.207,HEAT SHEILD NEEDS TO MOVED UNDER DEF LINES BEHIND CAB,NULL
27147166,24612715,JB3609,017,711,NULL,NULL,5103,2,001,AUJENKI   ,MISSING             ,0,3,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:21:11.373,2016-05-26 03:21:11.373,MISSING BOLT ON ALARM,NULL
27147170,24612719,HZ3838,017,711,NULL,NULL,4407,2,009,waltch1   ,IMPROPERLY ROUTED   ,0,3,NULL,NULL,micmar2   ,2016-05-26 04:21:00.710,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:22:35.173,2016-05-26 04:21:00.627,AIRLINE BUNDLE AT FIREWALL HITTING SHOCK BOLT LHS OF ENGINE,NULL
27147171,24612720,JB6832,017,711,NULL,NULL,9999,0,999,jupfohl   ,CLEAR DISCREP       ,0,3,NULL,NULL,jupfohl   ,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2016-05-26 03:22:39.067,2016-05-26 03:22:39.067,NULL,NULL
27147179,24612727,JA7276,017,711,NULL,NULL,5007,2,004,dwcapps   ,DAMAGED             ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:30:15.237,2016-05-26 03:30:30.877,p-clamp bolt has cut lower radiator hose,NULL
27147203,24612748,JA7276,017,711,NULL,NULL,4305,2,036,dwcapps   ,SURFACE CONDITION   ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:42:59.613,2016-05-26 03:42:59.613,3 bolts loose on rhs back of cab,NULL
27147205,24612750,JA7276,017,711,NULL,NULL,4400,2,007,dwcapps   ,NOT OR WRG SECURED  ,0,1,NULL,NULL,NULL,NULL,NULL,0,N,NULL,N,NULL,NULL,NULL,2016-05-26 03:43:23.307,2016-05-26 03:43:23.307,cab air back leveler rod bolt loose back of cab,NULL
