LOC,VEH_SER_NO,POOL_CD,IDENT_SEQ,DATE_WORK,CHASSIS_LN_CD,SCH_MDL_TYPE,CTRY_CD,POOL_TRIG_TYPE,CLM_UNT_QTY,LID,TS_LOAD,PGM_ID
017,JB7998,01,6612610,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:23.770,SVXINPUP
017,HZ3842,01,6612613,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:24.027,SVXINPUP
017,HW2711,01,6612612,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:23.990,SVXINPUP
017,JB8040,01,6612611,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:23.803,SVXINPUP
017,JB6838,01,6612615,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647,2016-06-01 01:20:24.063,SVXINPUP
017,HW2741,01,6612614,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:24.053,SVXINPUP
017,JB8301,01,6612628,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647,2016-06-01 01:20:39.597,SVXINPUP
017,JB8276,01,6612627,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:39.587,SVXINPUP
017,HX7148,01,6612626,2016-06-01 00:00:00.000,A,CT,000,CHAS START,1,JF11647,2016-06-01 01:20:39.547,SVXINPUP
017,JB5300,01,6612625,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:39.547,SVXINPUP
017,JB6839,01,6612624,2016-06-01 00:00:00.000,A,CT,203,CHAS START,1,JF11647,2016-06-01 01:20:39.543,SVXINPUP
017,JB5299,01,6612623,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:39.540,SVXINPUP
017,HZ3928,01,6612622,2016-06-01 00:00:00.000,A,MM,203,CHAS START,1,JF11647,2016-06-01 01:20:39.527,SVXINPUP
017,HW1715,01,6612621,2016-06-01 00:00:00.000,A,CT,000,CHAS START,1,JF11647,2016-06-01 01:20:39.503,SVXINPUP
