Hiearchy,Name,dept_abvr,Shift,id,shift_id
Dept,Cab in White,CIW,10000,1104,0
SubDept,Cab in White,CIW,1000001,1105,1
Pool,Cab in White,CIW,100000132,1106,1
Team,Cab in White,CIW,10000013201,1107,1
Team,Cab in White,CIW,10000013203,1108,1
Team,Cab in White,CIW,10000013205,1109,1
Pool,Cab in White,CIW,100000154,1712,1
Team,Cab in White,CIW,10000015407,2157,1
Pool,Cab in White,CIW,1000001MD,1847,1
SubDept,Cab in White,CIW,1000002,1317,2
Pool,Cab in White,CIW,100000232,1318,2
Team,Cab in White,CIW,10000023241,1110,2
Team,Cab in White,CIW,10000023243,1111,2
Team,Cab in White,CIW,10000023245,1112,2
Pool,Cab in White,CIW,100000254,1713,2
Team,Cab in White,CIW,10000025447,1113,2
Pool,Cab in White,CIW,1000002MD,1848,2
SubDept,Cab in White,CIW,1000003,1319,3
Pool,Cab in White,CIW,100000332,1320,3
Team,Cab in White,CIW,10000033271,1114,3
Team,Cab in White,CIW,10000033273,5465,3
Team,Cab in White,CIW,10000033275,1115,3
Pool,Cab in White,CIW,100000354,1714,3
Team,Cab in White,CIW,10000035407,1116,3
Pool,Cab in White,CIW,1000003MD,1849,3
Dept,Final Cab,FCB,20000,1176,0
SubDept,Final Cab,FCB,2000001,1177,1
Pool,Final Cab,FCB,200000160,1178,1
Team,Final Cab,FCB,20000016003,1179,1
Team,Final Cab,FCB,20000016005,1180,1
Pool,Final Cab,FCB,200000161,1183,1
Team,Final Cab,FCB,20000016107,1184,1
Team,Final Cab,FCB,20000016109,1185,1
Team,Final Cab,FCB,20000016111,3062,1
Pool,Final Cab,FCB,200000171,1188,1
Team,Final Cab,FCB,20000017101,1189,1
Pool,Final Cab,FCB,2000001MD,1850,1
SubDept,Final Cab,FCB,2000002,1323,2
Pool,Final Cab,FCB,200000260,1324,2
Team,Final Cab,FCB,20000026043,1181,2
Team,Final Cab,FCB,20000026045,1182,2
Pool,Final Cab,FCB,200000261,1325,2
Team,Final Cab,FCB,20000026147,1186,2
Team,Final Cab,FCB,20000026149,1187,2
